"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"PubChem","","-","-","-","-","-","NA","0"
"52924055","LysoPC(20:3(8Z,11Z,14Z))","HMDB0010394","52924055","86256","C04230","-","CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C","1"
"743","Glutaric acid","HMDB0000661","743","17859","C00489","3254","OC(=O)CCCC(O)=O","1"
"138","5-Aminopentanoic acid","HMDB0003355","138","15887","C00431","6902","NCCCCC(O)=O","1"
"5459377","PC(14:0/14:0)","HMDB0007866","5459377","45240","C00157","-","[H][C@@](COC(=O)CCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC","1"
"52922342","PC(15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0007958","52922342","-","C00157","-","CCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC","1"
"52922204","","-","-","-","-","-","NA","0"
"938","Nicotinic acid","HMDB0001488","938","15940","C00253","6272","OC(=O)C1=CN=CC=C1","1"
"53480695","PC(P-16:0/22:5(4Z,7Z,10Z,13Z,16Z))","HMDB0011227","53480695","89988","-","-","CCCCCCCCCCCCCC\C=C/OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"11197","Tetracosanoic acid","HMDB0002003","11197","28866","C08320","6427","CCCCCCCCCCCCCCCCCCCCCCCC(O)=O","1"
"24778982","PC(18:2(9Z,12Z)/22:5(4Z,7Z,10Z,13Z,16Z))","HMDB0008154","24778982","-","C00157","-","CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"6443788","PC(16:0/16:1(9Z))","HMDB0007969","6443788","74000","C00157","-","CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"157355","Lactitol","-","157355","-","-","-","","1"
"24778771","PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0008015","24778771","84816","C00157","-","CCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"52922891","PC(18:4(6Z,9Z,12Z,15Z)/16:0)","HMDB0008232","52922891","-","C00157","-","CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"52922847","PC(18:3(9Z,12Z,15Z)/18:3(6Z,9Z,12Z))","HMDB0008205","52922847","-","C00157","-","CCCCC\C=C/C\C=C/C\C=C/CCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"52923341","PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)","HMDB0008495","52923341","-","C00157","-","CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"53479075","PC(20:4(8Z,11Z,14Z,17Z)/18:3(6Z,9Z,12Z))","HMDB0008468","53479075","-","C00157","-","CCCCC\C=C/C\C=C/C\C=C/CCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"52922250","PC(14:1(9Z)/16:0)","HMDB0007902","52922250","-","C00157","-","CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"24778699","PC(16:0/18:3(6Z,9Z,12Z))","HMDB0007974","24778699","84786","C00157","-","CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC","1"
"10747814","PC(16:0/20:4(5Z,8Z,11Z,14Z))","HMDB0007982","10747814","73003","C00157","-","CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"52923295","PC(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))","HMDB0008434","52923295","86184","C00157","-","CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"70699246","GlcCer(d14:1(4E)/20:0(OH))","-","70699246","-","-","-","","1"
"129657","PC(14:0/16:0)","HMDB0007869","129657","75062","C00157","-","[H][C@@](COC(=O)CCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC","1"
"52922637","","-","-","-","-","-","NA","0"
"52923235","PC(20:3(8Z,11Z,14Z)/18:2(9Z,12Z))","HMDB0008402","52923235","-","C00157","-","CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"53480469","LysoPC(20:4(8Z,11Z,14Z,17Z))","HMDB0010396","53480469","86259","C04230","-","CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C","1"
"239","Beta-Alanine","HMDB0000056","239","16958","C00099","5119","C(CN)C(=O)O","1"
"5281","Stearic acid","HMDB0000827","5281","28842","C01530","189","CCCCCCCCCCCCCCCCCC(O)=O","1"
"5958","Glucose 6-phosphate","HMDB0001401","5958","4170","C00668","145","OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O","1"
"52923213","PC(20:3(8Z,11Z,14Z)/14:0)","HMDB0008394","52923213","-","C00157","-","CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"24699","Glycerol 1-octadecanoate","HMDB0031075","24699","526874","-","-","CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O","1"
"24779461","LysoPC(16:1(9Z))","HMDB0010383","24779461","73851","C04230","-","CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O","1"
"11757087","LysoPC(20:5(5Z,8Z,11Z,14Z,17Z))","HMDB0010397","11757087","-","C04230","-","CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C","1"
"460604","LysoPC(14:0)","HMDB0010379","460604","64489","C04230","-","CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O","1"
"53480952","LysoPE(20:4(8Z,11Z,14Z,17Z)/0:0)","HMDB0011518","53480952","72742","-","-","[H][C@@](O)(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP(O)(=O)OCCN","1"
"10415542","LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0010404","10415542","73873","C04230","-","CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C","1"
"24779458","LysoPC(15:0)","HMDB0010381","24779458","131924","C04230","-","[H][C@@](O)(COC(=O)CCCCCCCCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"11005824","LysoPC(18:2(9Z,12Z))","HMDB0010386","11005824","28733","C04230","-","[H][C@@](O)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"446284","Eicosapentaenoic acid","HMDB0001999","446284","28364","C06428","6423","CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"460602","LysoPC(16:0)","HMDB0010382","460602","72998","C04230","-","[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"53480922","LysoPE(0:0/16:0)","HMDB0011473","53480922","131743","-","-","[H][C@@](CO)(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCCCCCC","1"
"5280934","Alpha-Linolenic acid","HMDB0001388","5280934","27432","C06427","6208","CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O","1"
"445580","Docosahexaenoic acid","HMDB0002183","445580","28125","C06429","3457","CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O","1"
"16081932","LysoPC(18:1(9Z))","HMDB0002815","16081932","28610","C04230","184","[H][C@@](O)(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"445638","Palmitoleic acid","HMDB0003229","445638","28716","C08362","188","CCCCCC\C=C/CCCCCCCC(O)=O","1"
"7405","Pyroglutamic acid","HMDB0000267","7405","18183","C01879","3251","OC(=O)[C@@H]1CCC(=O)N1","1"
"9544294","TG(18:1(9Z)/18:1(9Z)/18:3(9Z,12Z,15Z))","HMDB0010460","9544294","-","-","-","[H][C@](COC(=O)CCCCCCC\C=C/CCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC\C=C/CCCCCCCC","1"
"72733","","-","-","-","-","-","NA","0"
"5282768","11Z-Eicosenoic acid","HMDB0002231","5282768","32425","C16526","6563","CCCCCCCC\C=C/CCCCCCCCCC(O)=O","1"
"71","Oxoadipic acid","HMDB0000225","71","15753","C00322","5234","OC(=O)CCCC(=O)C(O)=O","1"
"985","Palmitic acid","HMDB0000220","985","15756","C00249","187","CCCCCCCCCCCCCCCC(O)=O","1"
"92746","Zymosterol intermediate 2","HMDB0006271","92746","18252","C05437","-","[H][C@@](C)(CCC=C(C)C)[C@@]1([H])CC[C@@]2([H])C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@]1([H])CC3","1"
"5962","L-Lysine","HMDB0000182","5962","18019","C00047","5200","NCCCC[C@H](N)C(O)=O","1"
"11006","Hexadecane","HMDB0033792","11006","45296","C14499","-","CCCCCCCCCCCCCCCC","1"
"8193","Dodecanol","HMDB0011626","8193","28878","C02277","-","CCCCCCCCCCCCO","1"
"1118","","-","-","-","-","-","NA","0"
"11005","Myristic acid","HMDB0000806","11005","28875","C06424","196","CCCCCCCCCCCCCC(O)=O","1"
"439193","Isomaltose","-","439193","-","-","-","","1"
"16639161","Hydroxycarbamic acid","-","16639161","-","-","-","","1"
"92794","Naringenin 7-O-beta-D-glucoside","-","92794","-","-","-","","1"
"6255","","-","-","-","-","-","NA","0"
"6305","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"444972","Fumaric acid","HMDB0000134","444972","18012","C00122","3242","OC(=O)\C=C\C(O)=O","1"
"6306","L-Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@H](N)C(O)=O","1"
"6057","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"1110","Succinic acid","HMDB0000254","1110","15741","C00042","114","OC(=O)CCC(O)=O","1"
"5780","Sorbitol","HMDB0000247","5780","17924","C00794","143","OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"5280450","Linoleic acid","HMDB0000673","5280450","17351","C01595","191","CCCCC\C=C/C\C=C/CCCCCCCC(O)=O","1"
"164619","1D-4-O-Methyl-myo-inositol","-","164619","-","-","-","","1"
"5779","D-Ribose","HMDB0000283","5779","47013","C00121","313","OC[C@H]1OC(O)[C@H](O)[C@@H]1O","1"
"5988","Sucrose","HMDB0000258","5988","17992","C00089","137","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1"
"439357","D-Galactose","HMDB0000143","439357","28061","C00984","134","OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O","1"
"2682","1-Hexadecanol","HMDB0003424","2682","16125","C00823","6927","CCCCCCCCCCCCCCCCO","1"
"158980","","-","-","-","-","-","NA","0"
"754","","-","-","-","-","-","NA","0"
"1135","Thymine","HMDB0000262","1135","17821","C00178","290","CC1=CNC(=O)NC1=O","1"
"787","Hydroxylamine","HMDB0003338","787","15429","C00192","6894","NO","1"
"9750","Citrulline","HMDB0000904","9750","16349","C00327","16","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"6288","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@@H](O)[C@H](N)C(O)=O","1"
"1102","Spermidine","HMDB0001257","1102","16610","C00315","254","NCCCCNCCCN","1"
"6262","Ornithine","HMDB0000214","6262","15729","C00077","27","NCCC[C@H](N)C(O)=O","1"
"5460407","L-threonic Acid","HMDB0062620","5460407","15908","C01620","-","OC[C@H](O)[C@@H](O)C(O)=O","1"
"1015","O-Phosphoethanolamine","HMDB0000224","1015","17553","C00346","5233","NCCOP(O)(O)=O","1"
"892","scyllo-Inositol","HMDB0006088","892","10642","C06153","-","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"190","Adenine","HMDB0000034","190","16708","C00147","85","NC1=C2NC=NC2=NC=N1","1"
"6251","Mannitol","HMDB0000765","6251","16899","C00392","142","OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"5280794","Stigmasterol","HMDB0000937","5280794","28824","C05442","168","[H]\C(=C(\[H])[C@@]([H])(C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@@]([H])(O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@@]([H])(CC)C(C)C","1"
"10469","Hexacosanoic acid","HMDB0002356","10469","31009","-","6642","CCCCCCCCCCCCCCCCCCCCCCCCCC(O)=O","1"
"5950","L-Alanine","HMDB0000161","5950","16977","C00041","-","C[C@H](N)C(O)=O","1"
"119","Gamma-Aminobutyric acid","HMDB0000112","119","16865","C00334","-","C(CC(=O)O)CN","1"
"3013625","Gly-Pro","-","3013625","-","-","-","","1"
"5997","Cholesterol","HMDB0000067","5997","16113","C00187","-","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C","1"
"6802","Guanosine","HMDB0000133","6802","16750","C00387","87","NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1","1"
"439186","Maltose","-","439186","-","-","-","","1"
"13849","Pentadecanoic acid","HMDB0000826","13849","42504","C16537","5789","CCCCCCCCCCCCCCC(O)=O","1"
"5280644","Bovinic acid","HMDB0003797","5280644","32798","C04056","-","CCCCCC\C=C\C=C/CCCCCCCC(O)=O","1"
"5312440","9E-Heptadecenoic acid","HMDB0031046","5312440","80550","C16536","-","[H]\C(CCCCCCC)=C(\[H])CCCCCCCC(O)=O","1"
"5280581","8,11,14-Eicosatrienoic acid","HMDB0002925","5280581","53486","C03242","259","CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O","1"
"5312529","11,14,17-Eicosatrienoic acid","HMDB0060039","5312529","53460","C16522","-","CC\C=C/C\C=C/C\C=C/CCCCCCCCCC(O)=O","1"
"6439848","Eicosadienoic acid","HMDB0005060","6439848","73731","C16525","-","CCCCC\C=C/C\C=C/CCCCCCCCCC(O)=O","1"
"10465","Heptadecanoic acid","HMDB0002259","10465","32365","-","6578","CCCCCCCCCCCCCCCCC(O)=O","1"
"1001","Phenylethylamine","HMDB0012275","1001","18397","C05332","-","NCCC1=CC=CC=C1","1"
"12025","2-Pyrrolidinone","HMDB0002039","12025","36592","C11118","6452","O=C1CCCN1","1"
"14900","Glycerol 1-hexadecanoate","HMDB0031074","14900","718061","-","-","CCCCCCCCCCCCCCCC(=O)OCC(CO)O","1"
"439709","D-Fructose","HMDB0000660","439709","47693","C02336","135","OC[C@@H](O)[C@H](O)[C@H](O)C(=O)CO","1"
"444679","Ergosterol","-","444679","-","-","-","","1"
"1045","Putrescine","HMDB0001414","1045","17148","C02896","3226","NCCCCN","1"
"64689","Beta-D-Glucose","HMDB0000516","64689","15903","C00221","3755","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"31256","Diacetone alcohol","HMDB0031511","31256","55381","-","-","CC(=O)CC(C)(C)O","1"
